text,date
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/nGsybhsJ8u",2019/11/24 11:11
"1/2We’ve done some challenges in DS how the song will be inserted during the gameplay. Under the certain condition, if this certain course in this certain area to be chosen then the camera angle switches and songs by LOW ROAR, SILENT POETS and BB’s theme will come out. (Continue) https://t.co/Ujo7ykvkbN",2019/11/24 9:53
"Thank you for the welcome BD &amp; snacks!

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/WDVSdZLu32",2019/11/24 0:07
"The design of the corpse bag in DS was inspired from the mummy package of Inca Empire. The mummy exposing the face in the photo on the right hand side, the outer cover has been taken by the thief. https://t.co/ye43nzbq1V",2019/11/23 14:12
"Mummies of the world exhibition covers all mummies of Inca, Egypt, Europe, Oceania, China and Japan(self-made mummy). You can see the element of motif used in DS. In fact the whale in Heartman’s room’s ceiling was captured the one from National Science Museum. https://t.co/I4voENRIBL",2019/11/23 14:04
"As to make the scariest horror game, I’ll watch the scary movies in order to awaken my horror soul. THE EYE is the Thai horror movie I rent when making PT but was too scary to finish watching. The package is scary so I rented the disc only. Will I be able to finish watching? https://t.co/BVwPruUAvt",2019/11/22 23:12
"Dear Sam Porter Bridges in the world, thanks for doing the delivery mission, building highway, infrastructure, communication network. There’ll be timefall tonight and gets chilly out there. Pls be careful when delivering this weekend. 
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/hc3tQb1yU6",2019/11/22 22:17
"Restarted from zero. Just like the naked Sam stranded in the beach, I had nothing. But I only had a connection. Tracing the connection, crossing the rivers and the mountains I made the solid knot with many supporters. Connected DS &amp; users, players each other and the outer world. https://t.co/m793uaF1dU",2019/11/22 15:03
"Let’s get connected in this weekend with people in Taipei. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/dTABeChpbm",2019/11/22 14:57
"It’s been 2 weeks since the launch. To Sam Porter Bridges in the world, thanks for connecting the world. The ones addicted to DS, the ones finished the story, everyone’s connected. 
TOMORROW IS IN YOUR HANDS.

#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/6l1r0ggVMu",2019/11/22 14:54
"That beautiful SILENT POETS new song (ALMOST NOTHING) in DEATH STRANDING (few times depending on the route) and at the ending.

https://t.co/4Ix35mkvj6
TOMORROW IS IN YOUR HANDS.
#デスストでつながれ
#デススト
#silentpoets
#okaykaya
#DeathStranding?????????
#TomorrowIsInYourHands https://t.co/LQFEuA4OhK",2019/11/22 14:43
Received Peter Tieryas' French version of MECHA SAMURAI EMPIRE from France. Thank you very much! The right one is the limited edition! https://t.co/P7ihwezYmR,2019/11/21 17:06
